model,accuracy,macro_f1,f1_c1,f1_c234,f1_c5,cv_accuracy_mean,cv_accuracy_std,cv_macro_f1_mean,cv_macro_f1_std
bert512,0.46521003384431614,0.46215010528891315,0.4841425985677186,0.37289194253591507,0.5294157747631059,,,,
soft256,0.4641150706748955,0.4605634556731397,0.490033731984054,0.36526850969176994,0.5263881253435954,,,,
svc_word_char,0.4441071073063906,0.4434927137975342,0.4677767499229109,0.3784682845694413,0.4842331069002503,,,,
baseline,0.45177184949233523,0.4496373726166118,0.4821843822668967,0.3688177107866227,0.49791002479631596,,,,
ordinal256_corrected,0.4496814652598049,0.4512451881987814,0.43903312444046555,0.41621210199162756,0.4984903381642512,,,,
ensemble_majority_5,0.47372088393390405,0.4718457925423521,0.49710982658959535,0.3848271642704191,0.5336003867670419,0.47372183324428097,0.008230900855591488,0.47150742741176777,0.010094988060918755
