max_length,learning_rate,epochs,fold,train_size,eval_size,train_batch_size,eval_batch_size,gradient_accumulation_steps,effective_batch_size,weight_decay,fp16,gradient_checkpointing,accuracy,macro_f1,eval_loss,time_seconds,time_minutes,peak_vram_gb,peak_reserved_vram_gb,status,error
512,3e-05,2,0,16073,4019,4,4,4,16,0.01,True,False,0.4662851455585967,0.45647757976639786,1.0392510890960693,1560.6130594999995,26.010217658333325,2.685279369354248,2.890625,ok,
512,3e-05,2,1,16073,4019,4,4,4,16,0.01,True,False,0.4702662353819358,0.46675223483834083,1.0377082824707031,1668.7761246999726,27.81293541166621,2.696631908416748,2.8984375,ok,
512,3e-05,2,2,16073,4019,4,4,4,16,0.01,True,False,0.4550883304304553,0.45148267084546445,1.059562087059021,1698.4816363999853,28.30802727333309,2.696631908416748,2.8984375,ok,
512,3e-05,2,3,16076,4016,4,4,4,16,0.01,True,False,0.4716135458167331,0.47083941836409426,1.0411622524261475,1707.3665885999799,28.456109809999663,2.696631908416748,2.802734375,ok,
512,3e-05,2,4,16073,4019,4,4,4,16,0.01,True,False,0.4615576013933814,0.45918795514411687,1.0354238748550415,1705.8373201000504,28.43062200166751,2.696631908416748,2.8984375,ok,
