model,accuracy,macro_f1,f1_c1,f1_c234,f1_c5,cv_accuracy_mean,cv_accuracy_std,cv_macro_f1_mean,cv_macro_f1_std
bert512,0.46521003384431614,0.46215010528891315,0.4841425985677186,0.37289194253591507,0.5294157747631059,,,,
soft256,0.4641150706748955,0.4605634556731397,0.490033731984054,0.36526850969176994,0.5263881253435954,,,,
svc_word_char,0.4441071073063906,0.4434927137975342,0.4677767499229109,0.3784682845694413,0.4842331069002503,,,,
baseline,0.45177184949233523,0.4496373726166118,0.4821843822668967,0.3688177107866227,0.49791002479631596,,,,
ordinal256_corrected,0.4496814652598049,0.4512451881987814,0.43903312444046555,0.41621210199162756,0.4984903381642512,,,,
ensemble_majority_5,0.473820426040215,0.4721275773430718,0.4959936533121777,0.3861785524012482,0.5342105263157895,0.4738213604898644,0.007817791200495382,0.4717786220863152,0.009710495366106126
