experiment_id,method,max_length,learning_rate,epochs,fold,train_size,eval_size,train_batch_size,eval_batch_size,gradient_accumulation_steps,effective_batch_size,weight_decay,fp16,threshold_1,threshold_2,accuracy,macro_f1,eval_loss,time_minutes,peak_vram_gb,status,error
ordinal_thresholds_v1,ordered_thresholds_bce,256,3e-05,2,0,16073,4019,8,8,2,16,0.01,True,-0.5001170039176941,0.8185688853263855,0.4433938790743966,0.3539112896486223,0.6043867468833923,13.089929846666443,2.684314250946045,ok,
ordinal_thresholds_v1,ordered_thresholds_bce,256,3e-05,2,1,16073,4019,8,8,2,16,0.01,True,-0.5000872611999512,0.818228006362915,0.45384423986066186,0.3636154613483787,0.5898810625076294,13.774491770000896,2.679797649383545,ok,
ordinal_thresholds_v1,ordered_thresholds_bce,256,3e-05,2,2,16073,4019,8,8,2,16,0.01,True,-0.4999941885471344,0.8185937404632568,0.44015924359293357,0.35331131264111243,0.6058676242828369,13.910610039999787,2.679797649383545,ok,
ordinal_thresholds_v1,ordered_thresholds_bce,256,3e-05,2,3,16076,4016,8,8,2,16,0.01,True,-0.5000691413879395,0.8183680772781372,0.44995019920318724,0.36165746995657244,0.5911570191383362,15.047565483334862,2.679797649383545,ok,
ordinal_thresholds_v1,ordered_thresholds_bce,256,3e-05,2,4,16073,4019,8,8,2,16,0.01,True,-0.5000460147857666,0.8186203241348267,0.443891515302314,0.35626777915252267,0.5946191549301147,16.516882628334375,2.679797649383545,ok,
