fold,n,targeted_ties,changed_predictions,fixes,breaks,net_correct,v2_accuracy,v3_accuracy,accuracy_delta,v2_macro_f1,v3_macro_f1,macro_f1_delta,v3_f1_c1,v3_f1_c234,v3_f1_c5
0,4019,193,77,28,26,2,0.47225678029360535,0.4727544165215228,0.0004976362279174307,0.4662056452704551,0.4667665728157613,0.0005609275453061779,0.4785276073619632,0.3744987971130714,0.5472733139722491
1,4019,179,68,28,19,9,0.48146305051007715,0.4837024135357054,0.0022393630256282715,0.4804583173696308,0.4828210900003871,0.0023627726307562935,0.4968051118210863,0.4068426924507252,0.5448154657293497
2,4019,169,79,27,25,2,0.46180641950734014,0.4623040557352575,0.0004976362279173752,0.45810448039653906,0.45855057280667727,0.0004460924101382102,0.4970691676436108,0.357341822522881,0.5212407282535402
3,4016,180,77,34,19,15,0.4800796812749004,0.4838147410358566,0.003735059760956172,0.4808014734707024,0.48457391905565195,0.0037724455849495464,0.5115913555992141,0.41454545454545455,0.5275849470222872
4,4019,152,66,30,21,9,0.47350087086339887,0.47574023388902714,0.0022393630256282715,0.47332319392424865,0.47519849385251184,0.0018752999282631855,0.5029194239003504,0.387434554973822,0.5352415026833631
