experiment_id,fold,epoch,eval_loss,accuracy,macro_f1
duplicate_soft_labels_v1,0,1.0,1.0361628532409668,0.45459069420253795,0.44230147078557075
duplicate_soft_labels_v1,0,2.0,1.0380733013153076,0.46429460064692707,0.455525908468132
duplicate_soft_labels_v1,0,2.0,1.0380733013153076,0.46429460064692707,0.455525908468132
duplicate_soft_labels_v1,1,1.0,1.0362025499343872,0.46105996516546405,0.4597284211204358
duplicate_soft_labels_v1,1,2.0,1.0336380004882812,0.47424732520527496,0.47190705375209024
duplicate_soft_labels_v1,1,2.0,1.0336380004882812,0.47424732520527496,0.47190705375209024
duplicate_soft_labels_v1,2,1.0,1.0550676584243774,0.43991042547897485,0.4253790786523155
duplicate_soft_labels_v1,2,2.0,1.0589791536331177,0.45459069420253795,0.4472968815374532
duplicate_soft_labels_v1,2,2.0,1.0589791536331177,0.45459069420253795,0.4472968815374532
duplicate_soft_labels_v1,3,1.0,1.03546941280365,0.45667330677290835,0.45219542243846805
duplicate_soft_labels_v1,3,2.0,1.0446971654891968,0.4716135458167331,0.4699392904465826
duplicate_soft_labels_v1,3,2.0,1.0446971654891968,0.4716135458167331,0.4699392904465826
duplicate_soft_labels_v1,4,1.0,1.0377631187438965,0.4511072406071162,0.4485260905465996
duplicate_soft_labels_v1,4,2.0,1.0468884706497192,0.4558347847723314,0.4556995576602028
duplicate_soft_labels_v1,4,2.0,1.0468884706497192,0.4558347847723314,0.4556995576602028
