max_length,learning_rate,epochs_config,fold,epoch,eval_loss,accuracy,macro_f1
384,3e-05,2,0,1.0,1.0265730619430542,0.46678278178651406,0.4633512487301819
384,3e-05,2,0,2.0,1.0386017560958862,0.4568300572281662,0.44327942222359834
384,3e-05,2,1,1.0,1.0401722192764282,0.45359542174670314,0.4479320978322532
384,3e-05,2,1,2.0,1.038082242012024,0.47225678029360535,0.46930634612961225
384,3e-05,2,2,1.0,1.0538989305496216,0.4396616073650162,0.41761630425199986
384,3e-05,2,2,2.0,1.0573701858520508,0.45135605872107487,0.4470843625552691
384,3e-05,2,3,1.0,1.028412938117981,0.46713147410358563,0.4641431484473746
384,3e-05,2,3,2.0,1.0354572534561157,0.47136454183266935,0.4707685777828945
384,3e-05,2,4,1.0,1.0456972122192383,0.44787260512565313,0.4464918191483866
384,3e-05,2,4,2.0,1.0403189659118652,0.45633242100024884,0.4550530606357876
