experiment_id,fold,epoch,eval_loss,accuracy,macro_f1
head_tail_256_v1,0,1.0,1.03261399269104,0.4590694202537945,0.4582623185190268
head_tail_256_v1,0,2.0,1.0424178838729858,0.46130878327942276,0.4536963878147245
head_tail_256_v1,1,1.0,1.0421637296676636,0.4486190594675292,0.4427615530055144
head_tail_256_v1,1,2.0,1.0333000421524048,0.4710126897238119,0.46862723753065527
head_tail_256_v1,2,1.0,1.061074137687683,0.4346852450858423,0.418383772688079
head_tail_256_v1,2,2.0,1.0552377700805664,0.44911669569544665,0.44570395375327215
head_tail_256_v1,3,1.0,1.034800410270691,0.45393426294820716,0.4523016227658603
head_tail_256_v1,3,2.0,1.0400696992874146,0.4631474103585657,0.4623295286636595
head_tail_256_v1,4,1.0,1.0491838455200195,0.4386663349091814,0.4358644847294082
head_tail_256_v1,4,2.0,1.0412893295288086,0.4526001492908684,0.4491885129271112
