fold,status,error,accuracy,macro_f1,eval_loss,time_seconds,time_minutes,vram_peak_gb,n_train,n_val,model_name,max_length,learning_rate,epochs,train_batch_size,eval_batch_size,gradient_accumulation_steps,effective_train_batch_size,weight_decay,fp16,gradient_checkpointing,label_smoothing_factor,seed,transformers_version,torch_version
0,ok,,0.4598158745956706,0.4484826666131075,1.0514683723449707,829.7744375000475,13.829573958334125,2.6843323707580566,16073,4019,neuralmind/bert-base-portuguese-cased,256,3e-05,2,8,8,2,16,0.01,True,False,0.1,42,5.17.0,2.14.0+cu130
1,ok,,0.4739985070913162,0.4726541823768062,1.0458900928497314,859.8734687999822,14.331224479999705,2.6798157691955566,16073,4019,neuralmind/bert-base-portuguese-cased,256,3e-05,2,8,8,2,16,0.01,True,False,0.1,42,5.17.0,2.14.0+cu130
2,ok,,0.4533466036327445,0.4467318674868542,1.058395266532898,826.6088282000273,13.77681380333379,2.6798157691955566,16073,4019,neuralmind/bert-base-portuguese-cased,256,3e-05,2,8,8,2,16,0.01,True,False,0.1,42,5.17.0,2.14.0+cu130
3,ok,,0.4663844621513944,0.4664044551927587,1.0473299026489258,818.8440407000016,13.64740067833336,2.6798157691955566,16076,4016,neuralmind/bert-base-portuguese-cased,256,3e-05,2,8,8,2,16,0.01,True,False,0.1,42,5.17.0,2.14.0+cu130
4,ok,,0.4570788753421249,0.45287756728189743,1.0539755821228027,818.4593174000038,13.640988623333396,2.6798157691955566,16073,4019,neuralmind/bert-base-portuguese-cased,256,3e-05,2,8,8,2,16,0.01,True,False,0.1,42,5.17.0,2.14.0+cu130
