fold,model,accuracy,macro_f1,f1_c1,f1_c234,f1_c5,n_val
0,ensemble_majority_5,0.47225678029360535,0.4662056452704551,0.47513357994245786,0.37445109780439123,0.5490322580645162,4019
1,ensemble_majority_5,0.48146305051007715,0.4804583173696308,0.49681020733652315,0.4008958566629339,0.5436688881094353,4019
2,ensemble_majority_5,0.46180641950734014,0.45810448039653906,0.4939334637964775,0.35793650793650794,0.5224434694566318,4019
3,ensemble_majority_5,0.4800796812749004,0.4808014734707024,0.5104207628784899,0.4090411957710536,0.5229424617625638,4016
4,ensemble_majority_5,0.47350087086339887,0.47332319392424865,0.5027279812938426,0.38558692421991086,0.5316546762589928,4019
