fold,model_name,loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_macro_f1,eval_f1_c1,eval_f1_c234,eval_f1_c5,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,Itau-Unibanco/NorBERTo-base,1.401519775390625,24.6941146850586,2e-05,0.0009953962921488,1,,,,,,,,,,,,,,
0,Itau-Unibanco/NorBERTo-base,1.1310999344806285,10.139573097229004,1.951243781094528e-05,0.0497698146074405,50,,,,,,,,,,,,,,
0,Itau-Unibanco/NorBERTo-base,1.098745422363281,5.460887908935547,1.901492537313433e-05,0.0995396292148811,100,,,,,,,,,,,,,,
0,Itau-Unibanco/NorBERTo-base,1.101680908203125,2.6130125522613525,1.8517412935323385e-05,0.1493094438223217,150,,,,,,,,,,,,,,
0,Itau-Unibanco/NorBERTo-base,1.0828823852539062,2.8881914615631104,1.801990049751244e-05,0.1990792584297623,200,,,,,,,,,,,,,,
0,Itau-Unibanco/NorBERTo-base,1.0913836669921877,4.228263854980469,1.7522388059701495e-05,0.2488490730372029,250,,,,,,,,,,,,,,
0,Itau-Unibanco/NorBERTo-base,1.084468994140625,3.6655216217041016,1.7024875621890548e-05,0.2986188876446435,300,,,,,,,,,,,,,,
0,Itau-Unibanco/NorBERTo-base,1.08144775390625,5.834609508514404,1.6527363184079605e-05,0.3483887022520841,350,,,,,,,,,,,,,,
0,Itau-Unibanco/NorBERTo-base,1.0483975219726562,3.1468505859375,1.6029850746268658e-05,0.3981585168595247,400,,,,,,,,,,,,,,
0,Itau-Unibanco/NorBERTo-base,1.047212142944336,4.673603534698486,1.553233830845771e-05,0.4479283314669653,450,,,,,,,,,,,,,,
0,Itau-Unibanco/NorBERTo-base,1.0588009643554688,4.511288166046143,1.5034825870646768e-05,0.4976981460744059,500,,,,,,,,,,,,,,
0,Itau-Unibanco/NorBERTo-base,1.062435302734375,2.9559333324432373,1.4537313432835824e-05,0.5474679606818464,550,,,,,,,,,,,,,,
