metric,mean,std,n_folds
accuracy,0.4621248645626501,0.008169743957912,5
macro_f1,0.4574301477902847,0.0114841851321476,5
eval_loss,1.0514118432998658,0.0050620183684026,5
oof_accuracy,0.4621242285486761,,5
oof_macro_f1,0.4580654779959492,,5
