experiment_id,fold,epoch,eval_loss,accuracy,macro_f1
ordinal_thresholds_v1,0,1.0,0.5920349955558777,0.44015924359293357,0.35388372724333567
ordinal_thresholds_v1,0,2.0,0.6043867468833923,0.4433938790743966,0.3539112896486223
ordinal_thresholds_v1,0,2.0,0.6043867468833923,0.4433938790743966,0.3539112896486223
ordinal_thresholds_v1,1,1.0,0.5897959470748901,0.4458820602139836,0.35616068442273735
ordinal_thresholds_v1,1,2.0,0.5898810625076294,0.45384423986066186,0.3636154613483787
ordinal_thresholds_v1,1,2.0,0.5898810625076294,0.45384423986066186,0.3636154613483787
ordinal_thresholds_v1,2,1.0,0.605599582195282,0.4346852450858423,0.34928499969159627
ordinal_thresholds_v1,2,2.0,0.6058676242828369,0.44015924359293357,0.35331131264111243
ordinal_thresholds_v1,2,2.0,0.6058676242828369,0.44015924359293357,0.35331131264111243
ordinal_thresholds_v1,3,1.0,0.5866568088531494,0.449203187250996,0.36104231154989
ordinal_thresholds_v1,3,2.0,0.5911570191383362,0.44995019920318724,0.36165746995657244
ordinal_thresholds_v1,3,2.0,0.5911570191383362,0.44995019920318724,0.36165746995657244
ordinal_thresholds_v1,4,1.0,0.5983245968818665,0.43269470017417266,0.3473638917869648
ordinal_thresholds_v1,4,2.0,0.5946191549301147,0.443891515302314,0.35626777915252267
ordinal_thresholds_v1,4,2.0,0.5946191549301147,0.443891515302314,0.35626777915252267
