fold,model,accuracy,macro_f1,f1_c1,f1_c234,f1_c5,n_val
0,ensemble_majority_5,0.47225678029360535,0.46610134497592454,0.47911547911547914,0.3720369626355966,0.5471515931766978,4019
1,ensemble_majority_5,0.4819606867379945,0.4808534879004703,0.49721115537848604,0.40014958863126404,0.5451997196916608,4019
2,ensemble_majority_5,0.46105996516546405,0.4571463380809719,0.4937205651491366,0.35589171974522293,0.5218267293485561,4019
3,ensemble_majority_5,0.4800796812749004,0.48062438132395924,0.5129209083790133,0.4073394495412844,0.5216127860515801,4016
4,ensemble_majority_5,0.47325205274944016,0.4728115847775129,0.501747572815534,0.38565022421524664,0.5310369573017582,4019
