max_length,learning_rate,epochs_config,fold,epoch,eval_loss,accuracy,macro_f1
512,3e-05,2,0,1.0,1.0278249979019165,0.4720079621796467,0.468132081522661
512,3e-05,2,0,2.0,1.0392510890960693,0.4662851455585967,0.45647757976639786
512,3e-05,2,1,1.0,1.039814829826355,0.4476237870116945,0.446369639377477
512,3e-05,2,1,2.0,1.0377082824707031,0.4702662353819358,0.46675223483834083
512,3e-05,2,2,1.0,1.0567574501037598,0.43916397113709876,0.419965771004939
512,3e-05,2,2,2.0,1.059562087059021,0.4550883304304553,0.45148267084546445
512,3e-05,2,3,1.0,1.0311459302902222,0.45119521912350596,0.44291746570773083
512,3e-05,2,3,2.0,1.0411622524261475,0.4716135458167331,0.47083941836409426
512,3e-05,2,4,1.0,1.0360156297683716,0.4506096043791988,0.4508494252884237
512,3e-05,2,4,2.0,1.0354238748550415,0.4615576013933814,0.45918795514411687
