fold,C,accuracy,macro_f1,fit_predict_seconds,vectorize_seconds,n_word_features,n_char_features,n_total_features
0,0.5,0.4331923364020901,0.431781088002182,20.09640360006597,48.658983399975114,120000,180000,300000
0,1.0,0.42771833789499875,0.4267891583308459,32.23442740004975,48.658983399975114,120000,180000,300000
0,2.0,0.4274695197810401,0.42672531943808373,56.16922429995611,48.658983399975114,120000,180000,300000
1,0.5,0.44787260512565313,0.4482021021326901,19.79010390001349,44.484112399979495,120000,180000,300000
1,1.0,0.44090569793480966,0.4414532942972249,35.13585800002329,44.484112399979495,120000,180000,300000
1,2.0,0.4384175167952227,0.43889007837393107,63.914706800016575,44.484112399979495,120000,180000,300000
2,0.5,0.44837024135357056,0.44796395940647016,23.02848640002776,51.05910720000975,120000,180000,300000
2,1.0,0.44090569793480966,0.44096239745037913,32.40850790007971,51.05910720000975,120000,180000,300000
2,2.0,0.4361781537695944,0.4362308563161638,55.32069700001739,51.05910720000975,120000,180000,300000
3,0.5,0.44223107569721115,0.44163287130875895,20.6426546999719,44.52782469999511,120000,180000,300000
3,1.0,0.4397410358565737,0.439267030054353,33.65308269998059,44.52782469999511,120000,180000,300000
3,2.0,0.438496015936255,0.43822140304513696,58.57217749999836,44.52782469999511,120000,180000,300000
4,0.5,0.44886787758148794,0.4474191397682284,20.837351399939507,49.87270189996343,120000,180000,300000
4,1.0,0.4364269718835531,0.43591179506205013,32.85609620006289,49.87270189996343,120000,180000,300000
4,2.0,0.43418760885792484,0.4335926832650623,55.88502409995999,49.87270189996343,120000,180000,300000
