fold,n_treino,n_validacao,accuracy,f1_macro,tempo_segundos
0,16073,4019,0.44737496889773576,0.44470341865281293,3.5038069000001997
1,16073,4019,0.45857178402587706,0.4571616311629018,3.5522668000194244
2,16073,4019,0.4436426971883553,0.4411896462820076,3.2494351999484934
3,16076,4016,0.4509462151394422,0.4493949954579801,3.321463899977971
4,16073,4019,0.4583229659119184,0.4555936461025816,3.5200438000028953
