config_id,learning_rate,epochs,max_length,fold,n_treino,n_validacao,accuracy,f1_macro,eval_loss,tempo_segundos,pico_vram_gb,status
lr_2e-05_epochs_2_len_256,2e-05,2,256,0,16073,4019,0.45633242100024884,0.4488675958112334,1.0368763208389282,744.8097310999874,2.6916046142578125,ok
lr_1e-05_epochs_1_len_256,1e-05,1,256,0,16073,4019,0.4428962428464792,0.44005526557476715,1.04315185546875,366.14299399999436,2.6916046142578125,ok
lr_1e-05_epochs_1_len_256,1e-05,1,256,1,16073,4019,0.43269470017417266,0.42757054504019915,1.0514034032821655,396.67304720007814,2.686044216156006,ok
lr_1e-05_epochs_1_len_256,1e-05,1,256,2,16073,4019,0.4396616073650162,0.43062097235825675,1.0572750568389893,476.32903769996483,2.685652256011963,ok
lr_1e-05_epochs_1_len_256,1e-05,1,256,3,16076,4016,0.4464641434262948,0.43315814680554743,1.0442605018615723,479.2545797000639,2.68776273727417,ok
lr_1e-05_epochs_1_len_256,1e-05,1,256,4,16073,4019,0.44314506096043793,0.42614330907733894,1.0521142482757568,478.4608135999879,2.680436134338379,ok
lr_1e-05_epochs_2_len_256,1e-05,2,256,0,16073,4019,0.45284896740482705,0.43772532616325455,1.0359914302825928,960.0520871999906,2.6885972023010254,ok
lr_1e-05_epochs_2_len_256,1e-05,2,256,1,16073,4019,0.4570788753421249,0.44752357982316154,1.0370702743530273,976.5292345000198,2.6874327659606934,ok
lr_1e-05_epochs_2_len_256,1e-05,2,256,2,16073,4019,0.4533466036327445,0.444857475093146,1.0454609394073486,959.2413489000173,2.685652256011963,ok
lr_1e-05_epochs_2_len_256,1e-05,2,256,3,16076,4016,0.4591633466135458,0.45357021379776635,1.0347703695297241,958.3838730000425,2.68776273727417,ok
lr_1e-05_epochs_2_len_256,1e-05,2,256,4,16073,4019,0.4486190594675292,0.4451955680117396,1.041113257408142,958.1698976000771,2.6830263137817383,ok
lr_1e-05_epochs_3_len_256,1e-05,3,256,0,16073,4019,0.4558347847723314,0.44926080223876746,1.0464271306991577,1435.7418035999872,2.6885972023010254,ok
lr_1e-05_epochs_3_len_256,1e-05,3,256,1,16073,4019,0.4623040557352575,0.45141889730528373,1.037418007850647,1432.180571999983,2.6874327659606934,ok
lr_1e-05_epochs_3_len_256,1e-05,3,256,2,16073,4019,0.4540930579746206,0.4508411073417304,1.059471607208252,1431.123667799984,2.6892647743225098,ok
lr_1e-05_epochs_3_len_256,1e-05,3,256,3,16076,4016,0.46339641434262946,0.4565085059991955,1.0481292009353638,1431.142193299951,2.68776273727417,ok
lr_1e-05_epochs_3_len_256,1e-05,3,256,4,16073,4019,0.4652898731027619,0.45969856810191784,1.0467414855957031,1430.933935499983,2.6867294311523438,ok
lr_2e-05_epochs_1_len_256,2e-05,1,256,0,16073,4019,0.45384423986066186,0.4506579167088292,1.03463613986969,477.00607010000385,2.6885972023010254,ok
lr_2e-05_epochs_1_len_256,2e-05,1,256,1,16073,4019,0.45210251306295096,0.446981932545925,1.0378174781799316,476.5918790999567,2.686044216156006,ok
lr_2e-05_epochs_1_len_256,2e-05,1,256,2,16073,4019,0.44314506096043793,0.43867936731275453,1.052377700805664,476.8401604000246,2.685652256011963,ok
lr_2e-05_epochs_1_len_256,2e-05,1,256,3,16076,4016,0.45766932270916333,0.4492147771443107,1.0343496799468994,477.12433049990796,2.68776273727417,ok
lr_2e-05_epochs_1_len_256,2e-05,1,256,4,16073,4019,0.4476237870116945,0.4310998799081867,1.043645977973938,477.3435926999664,2.680436134338379,ok
lr_2e-05_epochs_2_len_256,2e-05,2,256,1,16073,4019,0.47574023388902714,0.4693959603612547,1.0288233757019043,954.830411999952,2.6874327659606934,ok
lr_2e-05_epochs_2_len_256,2e-05,2,256,2,16073,4019,0.4508584224931575,0.44425869918392474,1.0524896383285522,955.0733627999434,2.685652256011963,ok
lr_2e-05_epochs_2_len_256,2e-05,2,256,3,16076,4016,0.4701195219123506,0.4673206980614857,1.0349068641662598,955.0620134999044,2.68776273727417,ok
lr_2e-05_epochs_2_len_256,2e-05,2,256,4,16073,4019,0.45956705648171187,0.45705954764006074,1.0405523777008057,955.0001922999509,2.6830263137817383,ok
lr_2e-05_epochs_3_len_256,2e-05,3,256,0,16073,4019,0.45558596665837275,0.4471411372405536,1.077931523323059,1434.6612526999088,2.6885972023010254,ok
lr_2e-05_epochs_3_len_256,2e-05,3,256,1,16073,4019,0.46081114705150533,0.45419251754271867,1.0770050287246704,1433.098197299987,2.6874327659606934,ok
lr_2e-05_epochs_3_len_256,2e-05,3,256,2,16073,4019,0.4501119681512814,0.44635541532386785,1.1058546304702759,1434.791877200012,2.6892647743225098,ok
lr_2e-05_epochs_3_len_256,2e-05,3,256,3,16076,4016,0.46663346613545814,0.4612461552121814,1.084861397743225,1316.119577900041,2.68776273727417,ok
lr_2e-05_epochs_3_len_256,2e-05,3,256,4,16073,4019,0.4680268723563075,0.46354178127618506,1.083359956741333,1052.8713084000628,2.6867294311523438,ok
lr_3e-05_epochs_1_len_256,3e-05,1,256,0,16073,4019,0.4655386912167206,0.4619996056324114,1.0309382677078247,352.74799549998716,2.6885972023010254,ok
lr_3e-05_epochs_1_len_256,3e-05,1,256,1,16073,4019,0.4632993281910923,0.46084624081835884,1.0325591564178467,352.91964149998967,2.686044216156006,ok
lr_3e-05_epochs_1_len_256,3e-05,1,256,2,16073,4019,0.4453844239860662,0.4379048033301384,1.0506864786148071,353.21958090004046,2.685652256011963,ok
lr_3e-05_epochs_1_len_256,3e-05,1,256,3,16076,4016,0.45443227091633465,0.4469892609765698,1.0359023809432983,354.35211450001225,2.68776273727417,ok
lr_3e-05_epochs_1_len_256,3e-05,1,256,4,16073,4019,0.4526001492908684,0.4353538363010307,1.0432195663452148,354.9001734999474,2.680436134338379,ok
lr_3e-05_epochs_2_len_256,3e-05,2,256,0,16073,4019,0.46205523762129885,0.4522029269022238,1.041966438293457,708.7957040999318,2.6885972023010254,ok
lr_3e-05_epochs_2_len_256,3e-05,2,256,1,16073,4019,0.46703159990047277,0.4635362065750346,1.0371543169021606,711.4505431000143,2.6874327659606934,ok
lr_3e-05_epochs_2_len_256,3e-05,2,256,2,16073,4019,0.4550883304304553,0.450272864675223,1.0538318157196045,707.1670056999428,2.685652256011963,ok
lr_3e-05_epochs_2_len_256,3e-05,2,256,3,16076,4016,0.46962151394422313,0.4670400182500105,1.038576602935791,706.4139299999224,2.68776273727417,ok
lr_3e-05_epochs_2_len_256,3e-05,2,256,4,16073,4019,0.46081114705150533,0.4581433403088804,1.0399364233016968,706.8731143000768,2.6830263137817383,ok
lr_3e-05_epochs_3_len_256,3e-05,3,256,0,16073,4019,0.45608360288629013,0.45079658363589137,1.1061233282089233,1059.426062499988,2.6885972023010254,ok
lr_3e-05_epochs_3_len_256,3e-05,3,256,1,16073,4019,0.4645434187608858,0.46189339835213294,1.1081146001815796,1061.0669703000458,2.6874327659606934,ok
lr_3e-05_epochs_3_len_256,3e-05,3,256,2,16073,4019,0.45135605872107487,0.4471108303974815,1.1539092063903809,1059.1946421000175,2.6892647743225098,ok
lr_3e-05_epochs_3_len_256,3e-05,3,256,3,16076,4016,0.46439243027888444,0.460137297326172,1.0983667373657227,1059.3935883999802,2.68776273727417,ok
lr_3e-05_epochs_3_len_256,3e-05,3,256,4,16073,4019,0.4655386912167206,0.4628517275067085,1.1041648387908936,1059.4665871000616,2.6867294311523438,ok
